PlanId,Type,X,Y
0,Efficient,1,10
1,Efficient,2,6.5
2,Efficient,4.5,5
3,Efficient,5,3
4,Efficient,8,2.5
5,Dominated,10.5,2.5
6,Dominated,1.5,10.5
7,Dominated,2.3,7
8,Dominated,3.2,9
9,Dominated,4,11
10,Dominated,4.2,6.5
11,Dominated,5.6,6.7
12,Dominated,5.3,4.7
13,Dominated,5.1,8.3
14,Dominated,6,9.7
15,Dominated,6.4,7.3
16,Dominated,7.1,3.5
17,Dominated,7.3,6
18,Dominated,7.6,2.9
19,Dominated,7.9,8.5
20,Dominated,8.2,10.9
21,Dominated,9,5
22,Dominated,9.2,7
23,Dominated,9.7,9.5
24,Dominated,10,3.3
25,Dominated,10.4,7.3
